Address,City,State,ZIP,,[sequence],[summary],[addressee],[delivery_line_1],[delivery_line_2],[city_name],[state_abbreviation],[full_zipcode],[notes],[county_name],[rdi],[latitude],[longitude],[precision],[dpv_match_code],[dpv_footnotes],[footnotes],[county_fips],[record_type],[zip_type],[carrier_route],[congressional_district],[building_default_indicator],[elot_sequence],[elot_sort],[time_zone],[utc_offset],[dst],[dpv_cmra],[ews_match],[lacslink_indicator],[lacslink_code],[suitelink_match],[dpv_vacant],[active],[urbanization],[primary_number],[street_name],[street_predirection],[street_postdirection],[street_suffix],[secondary_number],[secondary_designator],[extra_secondary_number],[extra_secondary_designator],[pmb_designator],[pmb_number],[default_city_name],[zipcode],[plus4_code],[delivery_point],[delivery_point_check_digit],[last_line],[delivery_point_barcode]
1513 22ND AVE S,Seattle,WA,98144,,1089,Match-Mailable,,1513 22nd Ave S,,Seattle,WA,98144-3608,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58957,-122.30397,Zip9,Y,AABB,,53033,S,Standard,C022,9,,10,D,Pacific,-8,Y,N,,,,,N,Y,,1513,22nd,,S,Ave,,,,,,,,98144,3608,13,3,Seattle WA 98144-3608,9.81444E+11
1712 22ND AVE S,Seattle,WA,98144,,1090,Match-Mailable,,1712 22nd Ave S,,Seattle,WA,98144-4514,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58822,-122.30377,Zip9,Y,AABB,,53033,S,Standard,C022,9,,9,D,Pacific,-8,Y,N,,,,,N,Y,,1712,22nd,,S,Ave,,,,,,,,98144,4514,12,7,Seattle WA 98144-4514,9.81445E+11
1214 S WALKER ST,Seattle,WA,98144,,1091,Match-Mailable,,1214 S Walker St,,Seattle,WA,98144-4129,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58379,-122.31663,Zip9,Y,AABB,,53033,S,Standard,C003,9,,11,A,Pacific,-8,Y,N,,,,,N,Y,,1214,Walker,S,,St,,,,,,,,98144,4129,14,3,Seattle WA 98144-4129,9.81444E+11
2119 A 15TH AVE S,Seattle,WA,98144,,1092,Match-Mailable,,2119 15th Ave S Apt A,,Seattle,WA,98144-4278,"Standardized, Fixed abbreviations, Matched street and city and state, Confirmed entire address",King,Residential,47.58438,-122.31347,Zip9,Y,AABB,N#,53033,H,Standard,C014,9,,14,A,Pacific,-8,Y,N,,,,,N,Y,,2119,15th,,S,Ave,A,Apt,,,,,,98144,4278,73,3,Seattle WA 98144-4278,9.81444E+11
2012 C 15TH AVE S,Seattle,WA,98144,,1093,No Match,,2012C 15th Ave S,,Seattle,WA,98144-4218,"Fixed abbreviations, Matched street and city and state, Primary number invalid",King,Unknown,47.58538,-122.31328,Zip9,N,AAM3,N#,53033,S,Standard,C013,9,,,,Pacific,-8,Y,,,,,,,,,2012C,15th,,S,Ave,,,,,,,,98144,4218,,,Seattle WA 98144-4218,981444218
2001 16TH AVE S,Seattle,WA,98144,,1094,Match-Mailable,,2001 16th Ave S,,Seattle,WA,98144-4229,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58536,-122.31215,Zip9,Y,AABB,,53033,S,Standard,C013,9,,108,A,Pacific,-8,Y,N,,,,,N,Y,,2001,16th,,S,Ave,,,,,,,,98144,4229,1,6,Seattle WA 98144-4229,9.81444E+11
2013 16TH AVE S,Seattle,WA,98144,,1095,Match-Mailable,,2013 16th Ave S,,Seattle,WA,98144-4229,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58536,-122.31215,Zip9,Y,AABB,,53033,S,Standard,C013,9,,108,A,Pacific,-8,Y,N,,,,,N,Y,,2013,16th,,S,Ave,,,,,,,,98144,4229,13,3,Seattle WA 98144-4229,9.81444E+11
2013 16TH AVE S,Seattle,WA,98144,,1096,Match-Mailable,,2013 16th Ave S,,Seattle,WA,98144-4229,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58536,-122.31215,Zip9,Y,AABB,,53033,S,Standard,C013,9,,108,A,Pacific,-8,Y,N,,,,,N,Y,,2013,16th,,S,Ave,,,,,,,,98144,4229,13,3,Seattle WA 98144-4229,9.81444E+11
1912 16TH AVE S,Seattle,WA,98144,,1097,Match-Mailable,,1912 16th Ave S,,Seattle,WA,98144-4228,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58625,-122.31197,Zip9,Y,AABB,,53033,S,Standard,C013,9,,112,D,Pacific,-8,Y,N,,,,,N,Y,,1912,16th,,S,Ave,,,,,,,,98144,4228,12,5,Seattle WA 98144-4228,9.81444E+11
1616 S HILL ST,Seattle,WA,98144,,1098,Match-Mailable,,1616 S Hill St,,Seattle,WA,98144-4334,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58462,-122.312,Zip9,Y,AABB,,53033,S,Standard,C013,9,,117,A,Pacific,-8,Y,N,,,,,N,Y,,1616,Hill,S,,St,,,,,,,,98144,4334,16,3,Seattle WA 98144-4334,9.81444E+11
1610 S WALKER ST,Seattle,WA,98144,,1099,Match-Mailable,,1610 S Walker St,,Seattle,WA,98144-4344,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58377,-122.31194,Zip9,Y,AABB,,53033,S,Standard,C014,9,,29,A,Pacific,-8,Y,N,,,,,N,Y,,1610,Walker,S,,St,,,,,,,,98144,4344,10,8,Seattle WA 98144-4344,9.81444E+11
2026 17TH AVE S,Seattle,WA,98144,,1100,Match-Mailable,,2026 17th Ave S,,Seattle,WA,98144-4312,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58535,-122.31067,Zip9,Y,AABB,,53033,S,Standard,C013,9,,127,D,Pacific,-8,Y,N,,,,,N,Y,,2026,17th,,S,Ave,,,,,,,,98144,4312,26,6,Seattle WA 98144-4312,9.81444E+11
1708 S PLUM ST,Seattle,WA,98144,,1101,Match-Mailable,,1708 S Plum St,,Seattle,WA,98144-4342,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5856,-122.31065,Zip9,Y,AABB,,53033,S,Standard,C013,9,,156,A,Pacific,-8,Y,N,,,,,N,Y,,1708,Plum,S,,St,,,,,,,,98144,4342,8,3,Seattle WA 98144-4342,9.81444E+11
2007 20TH AVE S,Seattle,WA,98144,,1102,Match-Mailable,,2007 20th Ave S,,Seattle,WA,98144-4417,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5854,-122.30693,Zip9,Y,AABB,,53033,S,Standard,C024,9,,63,A,Pacific,-8,Y,N,,,,,N,Y,,2007,20th,,S,Ave,,,,,,,,98144,4417,7,1,Seattle WA 98144-4417,9.81444E+11
2123 12TH AVE S,Seattle,WA,98134,,1103,No Match,,2123 12th Ave S,,Seattle,WA,98134,"Insufficient data, Cardinal rule match, ZIP+4 did not match",King,Unknown,47.57914,-122.33168,Zip5,,A1,I#K#,53033,S,Standard,C042,7,,,,Pacific,-8,Y,,,,,,,,,,12th,,E,Ave,,,,,,,,98134,,,,Seattle WA 98134,98134
2123 12TH AVE S,Seattle,WA,98134,,1104,No Match,,2123 12th Ave S,,Seattle,WA,98134,"Insufficient data, Cardinal rule match, ZIP+4 did not match",King,Unknown,47.57914,-122.33168,Zip5,,A1,I#K#,53033,S,Standard,C042,7,,,,Pacific,-8,Y,,,,,,,,,,12th,,E,Ave,,,,,,,,98134,,,,Seattle WA 98134,98134
1905 15TH AVE S,Seattle,WA,98144,,1105,Match-Mailable,,1905 15th Ave S,,Seattle,WA,98144-4215,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58625,-122.31345,Zip9,Y,AABB,,53033,S,Standard,C013,9,,26,A,Pacific,-8,Y,N,,,,,N,Y,,1905,15th,,S,Ave,,,,,,,,98144,4215,5,7,Seattle WA 98144-4215,9.81444E+11
2021 15TH AVE S,Seattle,WA,98144,,1106,Match-Mailable,,2021 15th Ave S,,Seattle,WA,98144-4280,"Standardized, Missing secondary number, Matched street and city and state, Confirmed without secondary",King,Residential,47.58532,-122.31346,Zip9,D,AAN1,H#,53033,H,Standard,C013,9,Y,32,A,Pacific,-8,Y,N,,,,,N,Y,,2021,15th,,S,Ave,,,,,,,,98144,4280,99,2,Seattle WA 98144-4280,9.81444E+11
1515 S HOLGATE ST,Seattle,WA,98144,,1107,Match-Mailable,,1515 S Holgate St,,Seattle,WA,98144-4244,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58627,-122.31317,Zip9,Y,AABB,,53033,S,Standard,C013,9,,54,A,Pacific,-8,Y,N,,,,,N,Y,,1515,Holgate,S,,St,,,,,,,,98144,4244,15,4,Seattle WA 98144-4244,9.81444E+11
1917 17TH AVE S,Seattle,WA,98144,,1108,Match-Mailable,,1917 17th Ave S,,Seattle,WA,98144-4309,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58626,-122.31084,Zip9,Y,AABB,,53033,S,Standard,C013,9,,162,A,Pacific,-8,Y,N,,,,,N,Y,,1917,17th,,S,Ave,,,,,,,,98144,4309,17,0,Seattle WA 98144-4309,9.81444E+11
2117 20TH AVE S,Seattle,WA,98144,,1109,Match-Mailable,,2117 20th Ave S,,Seattle,WA,98144-4419,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58442,-122.30694,Zip9,Y,AABB,,53033,S,Standard,C024,9,,36,D,Pacific,-8,Y,N,,,,,N,Y,,2117,20th,,S,Ave,,,,,,,,98144,4419,17,8,Seattle WA 98144-4419,9.81444E+11
1916 19TH AVE S,Seattle,WA,98144,,1110,Match-Mailable,,1916 19th Ave S,,Seattle,WA,98144-4406,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5862,-122.30805,Zip9,Y,AABB,,53033,S,Standard,C024,9,,59,A,Pacific,-8,Y,N,,,,,N,Y,,1916,19th,,S,Ave,,,,,,,,98144,4406,16,3,Seattle WA 98144-4406,9.81444E+11
1916 20TH AVE S,Seattle,WA,98144,,1111,Match-Mailable,,1916 20th Ave S,,Seattle,WA,98144-4416,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58619,-122.30675,Zip9,Y,AABB,,53033,S,Standard,C024,9,,61,D,Pacific,-8,Y,N,,,,,N,Y,,1916,20th,,S,Ave,,,,,,,,98144,4416,16,2,Seattle WA 98144-4416,9.81444E+11
1902 24TH AVE S,Seattle,WA,98144,,1112,Match-Inactive,,1902 24th Ave S,,Seattle,WA,98144-4628,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58622,-122.30153,Zip9,Y,AABB,,53033,S,Standard,C022,9,,78,D,Pacific,-8,Y,N,,,,,N,N,,1902,24th,,S,Ave,,,,,,,,98144,4628,2,2,Seattle WA 98144-4628,9.81445E+11
2800 S HILL ST,Seattle,WA,98144,,1113,Match-Mailable,,2800 S Hill St,,Seattle,WA,98144-4810,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58439,-122.29577,Zip9,Y,AABB,,53033,S,Standard,C033,9,,17,A,Pacific,-8,Y,N,,,,,N,Y,,2800,Hill,S,,St,,,,,,,,98144,4810,0,1,Seattle WA 98144-4810,9.81445E+11
2005 29TH AVE S,Seattle,WA,98144,,1114,Match-Mailable,,2005 29th Ave S,,Seattle,WA,98144-4854,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5853,-122.29519,Zip9,Y,AABB,,53033,S,Standard,C033,9,,11,A,Pacific,-8,Y,N,,,,,N,Y,,2005,29th,,S,Ave,,,,,,,,98144,4854,5,8,Seattle WA 98144-4854,9.81445E+11
3224 24TH AVE S,Seattle,WA,98144,,1115,Match-Mailable,,3224 24th Ave S,,Seattle,WA,98144-6512,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57485,-122.30157,Zip9,Y,AABB,,53033,S,Standard,C026,9,,120,D,Pacific,-8,Y,N,,,,,N,Y,,3224,24th,,S,Ave,,,,,,,,98144,6512,24,4,Seattle WA 98144-6512,9.81447E+11
3218 25TH AVE S,Seattle,WA,98144,,1116,Match-Mailable,,3218 25th Ave S,,Seattle,WA,98144-6515,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57488,-122.30054,Zip9,Y,AABB,,53033,S,Standard,C026,9,,138,D,Pacific,-8,Y,N,,,,,N,Y,,3218,25th,,S,Ave,,,,,,,,98144,6515,18,8,Seattle WA 98144-6515,9.81447E+11
3217 25TH AVE S,Seattle,WA,98144,,1117,Match-Mailable,,3217 25th Ave S,,Seattle,WA,98144-6514,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57485,-122.30072,Zip9,Y,AABB,,53033,S,Standard,C026,9,,137,A,Pacific,-8,Y,N,,,,,N,Y,,3217,25th,,S,Ave,,,,,,,,98144,6514,17,0,Seattle WA 98144-6514,9.81447E+11
3212 24TH AVE S,Seattle,WA,98144,,1118,Match-Mailable,,3212 24th Ave S,,Seattle,WA,98144-6512,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57485,-122.30157,Zip9,Y,AABB,,53033,S,Standard,C026,9,,120,D,Pacific,-8,Y,N,,,,,N,Y,,3212,24th,,S,Ave,,,,,,,,98144,6512,12,7,Seattle WA 98144-6512,9.81447E+11
2417 S HANFORD ST,Seattle,WA,98144,,1119,Match-Mailable,,2417 S Hanford St,,Seattle,WA,98144-6505,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57497,-122.30118,Zip9,Y,AABB,,53033,S,Standard,C026,9,,134,A,Pacific,-8,Y,N,,,,,N,Y,,2417,Hanford,S,,St,,,,,,,,98144,6505,17,0,Seattle WA 98144-6505,9.81447E+11
2015 13TH AVE S,Seattle,WA,98144,,1120,Match-Mailable,,2015 13th Ave S,,Seattle,WA,98144-4115,"Standardized, Flagged for LACSLink, Matched street and city and state, Confirmed entire address",King,Residential,47.58539,-122.31607,Zip9,Y,AABB,LI#,53033,S,Standard,C003,9,,226,A,Pacific,-8,Y,N,,N,0,,N,Y,,2015,13th,,S,Ave,,,,,,,,98144,4115,15,7,Seattle WA 98144-4115,9.81444E+11
1423 S PLUM ST,Seattle,WA,98144,,1121,Match-Mailable,,1423 S Plum St,,Seattle,WA,98144-4246,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58544,-122.31443,Zip9,Y,AABB,,53033,S,Standard,C003,9,,92,D,Pacific,-8,Y,N,,,,,N,Y,,1423,Plum,S,,St,,,,,,,,98144,4246,23,3,Seattle WA 98144-4246,9.81444E+11
2026 15TH AVE S,Seattle,WA,98144,,1122,Match-Mailable,,2026 15th Ave S,,Seattle,WA,98144-4218,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58538,-122.31328,Zip9,Y,AABB,,53033,S,Standard,C013,9,,41,D,Pacific,-8,Y,N,,,,,N,Y,,2026,15th,,S,Ave,,,,,,,,98144,4218,26,1,Seattle WA 98144-4218,9.81444E+11
1922 16TH AVE S,Seattle,WA,98144,,1123,Match-Mailable,,1922 16th Ave S,,Seattle,WA,98144-4228,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58625,-122.31197,Zip9,Y,AABB,,53033,S,Standard,C013,9,,112,D,Pacific,-8,Y,N,,,,,N,Y,,1922,16th,,S,Ave,,,,,,,,98144,4228,22,4,Seattle WA 98144-4228,9.81444E+11
1606 S HILL ST,Seattle,WA,98144,,1124,Match-Mailable,,1606 S Hill St,,Seattle,WA,98144-4334,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58462,-122.312,Zip9,Y,AABB,,53033,S,Standard,C013,9,,115,A,Pacific,-8,Y,N,,,,,N,Y,,1606,Hill,S,,St,,,,,,,,98144,4334,6,4,Seattle WA 98144-4334,9.81444E+11
2121 17TH AVE S,Seattle,WA,98144,,1125,Match-Mailable,,2121 17th Ave S,,Seattle,WA,98144-4313,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58437,-122.31086,Zip9,Y,AABB,,53033,S,Standard,C013,9,,120,A,Pacific,-8,Y,N,,,,,N,Y,,2121,17th,,S,Ave,,,,,,,,98144,4313,21,0,Seattle WA 98144-4313,9.81444E+11
2012 17TH AVE S,Seattle,WA,98144,,1126,Match-Mailable,,2012 17th Ave S,,Seattle,WA,98144-4312,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58535,-122.31067,Zip9,Y,AABB,,53033,S,Standard,C013,9,,127,D,Pacific,-8,Y,N,,,,,N,Y,,2012,17th,,S,Ave,,,,,,,,98144,4312,12,1,Seattle WA 98144-4312,9.81444E+11
1906 17TH AVE S,Seattle,WA,98144,,1127,Match-Mailable,,1906 17th Ave S,,Seattle,WA,98144-4310,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58621,-122.31066,Zip9,Y,AABB,,53033,S,Standard,C013,9,,157,D,Pacific,-8,Y,N,,,,,N,Y,,1906,17th,,S,Ave,,,,,,,,98144,4310,6,0,Seattle WA 98144-4310,9.81444E+11
1922 18TH AVE S,Seattle,WA,98144,,1128,Match-Mailable,,1922 18th Ave S,,Seattle,WA,98144-4322,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58624,-122.30936,Zip9,Y,AABB,,53033,S,Standard,C013,9,,151,A,Pacific,-8,Y,N,,,,,N,Y,,1922,18th,,S,Ave,,,,,,,,98144,4322,22,9,Seattle WA 98144-4322,9.81444E+11
2012 23RD AVE S,Seattle,WA,98144,,1129,Match-Mailable,,2012 23rd Ave S,,Seattle,WA,98144-4618,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58533,-122.30284,Zip9,Y,AABB,,53033,S,Standard,C022,9,,38,A,Pacific,-8,Y,N,,,,,N,Y,,2012,23rd,,S,Ave,,,,,,,,98144,4618,12,2,Seattle WA 98144-4618,9.81445E+11
1906 24TH AVE S,Seattle,WA,98144,,1130,Match-Vacant,,1906 24th Ave S,,Seattle,WA,98144-4628,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58622,-122.30153,Zip9,Y,AABB,,53033,S,Standard,C022,9,,78,D,Pacific,-8,Y,N,,,,,Y,Y,,1906,24th,,S,Ave,,,,,,,,98144,4628,6,8,Seattle WA 98144-4628,9.81445E+11
2017 29TH AVE S,Seattle,WA,98144,,1131,Match-Mailable,,2017 29th Ave S,,Seattle,WA,98144-4854,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5853,-122.29519,Zip9,Y,AABB,,53033,S,Standard,C033,9,,11,A,Pacific,-8,Y,N,,,,,N,Y,,2017,29th,,S,Ave,,,,,,,,98144,4854,17,5,Seattle WA 98144-4854,9.81445E+11
2016 29TH AVE S,Seattle,WA,98144,,1132,Match-Mailable,,2016 29th Ave S,,Seattle,WA,98144-4855,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5853,-122.29501,Zip9,Y,AABB,,53033,S,Standard,C033,9,,12,D,Pacific,-8,Y,N,,,,,N,Y,,2016,29th,,S,Ave,,,,,,,,98144,4855,16,5,Seattle WA 98144-4855,9.81445E+11
2012 29TH AVE S,Seattle,WA,98144,,1133,Match-Mailable,,2012 29th Ave S,,Seattle,WA,98144-4855,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5853,-122.29501,Zip9,Y,AABB,,53033,S,Standard,C033,9,,12,D,Pacific,-8,Y,N,,,,,N,Y,,2012,29th,,S,Ave,,,,,,,,98144,4855,12,9,Seattle WA 98144-4855,9.81445E+11
2006 29TH AVE S,Seattle,WA,98144,,1134,Match-Mailable,,2006 29th Ave S,,Seattle,WA,98144-4855,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5853,-122.29501,Zip9,Y,AABB,,53033,S,Standard,C033,9,,12,D,Pacific,-8,Y,N,,,,,N,Y,,2006,29th,,S,Ave,,,,,,,,98144,4855,6,6,Seattle WA 98144-4855,9.81445E+11
1903 20TH AVE S,Seattle,WA,98144,,1135,Match-Mailable,,1903 20th Ave S,,Seattle,WA,98144-4415,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58624,-122.30693,Zip9,Y,AABB,,53033,S,Standard,C024,9,,62,A,Pacific,-8,Y,N,,,,,N,Y,,1903,20th,,S,Ave,,,,,,,,98144,4415,3,7,Seattle WA 98144-4415,9.81444E+11
1923 20TH AVE S,Seattle,WA,98144,,1136,Match-Mailable,,1923 20th Ave S,,Seattle,WA,98144-4415,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58624,-122.30693,Zip9,Y,AABB,,53033,S,Standard,C024,9,,62,A,Pacific,-8,Y,N,,,,,N,Y,,1923,20th,,S,Ave,,,,,,,,98144,4415,23,5,Seattle WA 98144-4415,9.81444E+11
2121 21ST AVE S,Seattle,WA,98144,,1137,Match-Mailable,,2121 21st Ave S,,Seattle,WA,98144-4509,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58447,-122.30564,Zip9,Y,AABB,,53033,S,Standard,C024,9,,35,D,Pacific,-8,Y,N,,,,,N,Y,,2121,21st,,S,Ave,,,,,,,,98144,4509,21,3,Seattle WA 98144-4509,9.81445E+11
1905 24TH AVE S,Seattle,WA,98144,,1138,Match-Mailable,,1905 24th Ave S,,Seattle,WA,98144-4627,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58618,-122.30171,Zip9,Y,AABB,,53033,S,Standard,C022,9,,42,A,Pacific,-8,Y,N,,,,,N,Y,,1905,24th,,S,Ave,,,,,,,,98144,4627,5,0,Seattle WA 98144-4627,9.81445E+11
1923 25TH AVE S,Seattle,WA,98144,,1139,Match-Mailable,,1923 25th Ave S,,Seattle,WA,98144-4705,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58617,-122.3004,Zip9,Y,AABB,,53033,S,Standard,C022,9,,83,A,Pacific,-8,Y,N,,,,,N,Y,,1923,25th,,S,Ave,,,,,,,,98144,4705,23,3,Seattle WA 98144-4705,9.81445E+11
2122 28TH AVE S,Seattle,WA,98144,,1140,Match-Mailable,,2122 28th Ave S,,Seattle,WA,98144-4809,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.584,-122.29633,Zip9,Y,AABB,,53033,S,Standard,C044,9,,136,A,Pacific,-8,Y,N,,,,,N,Y,,2122,28th,,S,Ave,,,,,,,,98144,4809,22,9,Seattle WA 98144-4809,9.81445E+11
2103 29TH AVE S,Seattle,WA,98144,,1141,Match-Mailable,,2103 29th Ave S,,Seattle,WA,98144-4856,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58439,-122.29519,Zip9,Y,AABB,,53033,S,Standard,C033,9,,18,A,Pacific,-8,Y,N,,,,,N,Y,,2103,29th,,S,Ave,,,,,,,,98144,4856,3,8,Seattle WA 98144-4856,9.81445E+11
2105 30TH AVE S,Seattle,WA,98144,,1142,Match-Mailable,,2105 30th Ave S,,Seattle,WA,98144-4868,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58436,-122.29415,Zip9,Y,AABB,,53033,S,Standard,C033,9,,20,A,Pacific,-8,Y,N,,,,,N,Y,,2105,30th,,S,Ave,,,,,,,,98144,4868,5,3,Seattle WA 98144-4868,9.81445E+11
2113 30TH AVE S,Seattle,WA,98144,,1143,Match-Mailable,,2113 30th Ave S,,Seattle,WA,98144-4868,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58436,-122.29415,Zip9,Y,AABB,,53033,S,Standard,C033,9,,20,A,Pacific,-8,Y,N,,,,,N,Y,,2113,30th,,S,Ave,,,,,,,,98144,4868,13,4,Seattle WA 98144-4868,9.81445E+11
1908 29TH AVE S,Seattle,WA,98144,,1144,Match-Mailable,,1908 29th Ave S,,Seattle,WA,98144-4853,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5862,-122.295,Zip9,Y,AABB,,53033,S,Standard,C033,9,,8,D,Pacific,-8,Y,N,,,,,N,Y,,1908,29th,,S,Ave,,,,,,,,98144,4853,8,6,Seattle WA 98144-4853,9.81445E+11
1216 S PLUM ST,Seattle,WA,98144,,1145,Match-Mailable,,1216 S Plum St,,Seattle,WA,98144-4127,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58563,-122.31706,Zip9,Y,AABB,,53033,S,Standard,C003,9,,231,D,Pacific,-8,Y,N,,,,,N,Y,,1216,Plum,S,,St,,,,,,,,98144,4127,16,3,Seattle WA 98144-4127,9.81444E+11
1208 S HILL ST,Seattle,WA,98144,,1146,Match-Mailable,,1208 S Hill St,,Seattle,WA,98144-4123,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58464,-122.31687,Zip9,Y,AABB,,53033,S,Standard,C003,9,,224,A,Pacific,-8,Y,N,,,,,N,Y,,1208,Hill,S,,St,,,,,,,,98144,4123,8,6,Seattle WA 98144-4123,9.81444E+11
1416 S PLUM ST,Seattle,WA,98144,,1147,Match-Mailable,,1416 S Plum St,,Seattle,WA,98144-4247,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58562,-122.31446,Zip9,Y,AABB,,53033,S,Standard,C003,9,,91,A,Pacific,-8,Y,N,,,,,N,Y,,1416,Plum,S,,St,,,,,,,,98144,4247,16,0,Seattle WA 98144-4247,9.81444E+11
2112 14TH AVE S,Seattle,WA,98144,,1148,Match-Mailable,,2112 14th Ave S,,Seattle,WA,98144-4208,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58443,-122.31459,Zip9,Y,AABB,,53033,S,Standard,C003,9,,41,A,Pacific,-8,Y,N,,,,,N,Y,,2112,14th,,S,Ave,,,,,,,,98144,4208,12,7,Seattle WA 98144-4208,9.81444E+11
1919 30TH AVE S,Seattle,WA,98144,,1149,Match-Mailable,,1919 30th Ave S,,Seattle,WA,98144-4864,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58615,-122.29412,Zip9,Y,AABB,,53033,S,Standard,C033,9,,26,A,Pacific,-8,Y,N,,,,,N,Y,,1919,30th,,S,Ave,,,,,,,,98144,4864,19,2,Seattle WA 98144-4864,9.81445E+11
2207 13TH AVE S,Seattle,WA,98144,,1150,Match-Mailable,,2207 13th Ave S,,Seattle,WA,98144-4118,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.58328,-122.31609,Zip9,Y,AABB,,53033,S,Standard,C003,9,,7,D,Pacific,-8,Y,N,,,,,N,Y,,2207,13th,,S,Ave,,,,,,,,98144,4118,7,3,Seattle WA 98144-4118,9.81444E+11
1411 S WALKER ST,Seattle,WA,98144,,1151,Match-Mailable,,1411 S Walker St,,Seattle,WA,98144-4251,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5836,-122.3145,Zip9,Y,AABB,,53033,S,Standard,C003,9,,46,D,Pacific,-8,Y,N,,,,,N,Y,,1411,Walker,S,,St,,,,,,,,98144,4251,11,0,Seattle WA 98144-4251,9.81444E+11
2206 15TH AVE S,Seattle,WA,98144,,1152,Match-Mailable,,2206 15th Ave S,,Seattle,WA,98144-4222,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5836,-122.31329,Zip9,Y,AABB,,53033,S,Standard,C014,9,,3,A,Pacific,-8,Y,N,,,,,N,Y,,2206,15th,,S,Ave,,,,,,,,98144,4222,6,8,Seattle WA 98144-4222,9.81444E+11
2201 16TH AVE S,Seattle,WA,98144,,1153,Match-Mailable,,2201 16th Ave S,,Seattle,WA,98144-4256,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5836,-122.31217,Zip9,Y,AABB,,53033,S,Standard,C014,9,,26,A,Pacific,-8,Y,N,,,,,N,Y,,2201,16th,,S,Ave,,,,,,,,98144,4256,1,6,Seattle WA 98144-4256,9.81444E+11
