Major,Minor,ComplexDescr,NbrBldgs,NbrStories,NbrUnits,AvgUnitSize,ProjectLocation,ProjectAppeal,PcntWithView,ConstrClass,BldgQuality,Condition,YrBuilt,EffYr,PcntComplete,Elevators,SectySystem,Fireplace,Laundry,Address
688990,125,TOWN VIEW APTS,1,4,9,728,3,3,50,4,4,4,1959,1987,100,N,Y,N,1,1222 TAYLOR AVE N 98109
684070,1720,APT,1,2,10,1095,3,3,0,4,4,3,1984,1990,100,N,N,N,2,2307 E FIR ST 98122
797880,300,WINDSOR COURT APARTMENTS,4,3,63,680,3,3,0,4,4,4,1991,2002,100,N,Y,N,2,1800 S 330TH ST 98003
85200,0,2 Townhouse Condo,1,2,2,1033,3,3,0,4,3,4,1987,1987,100,N,N,N,0,727 BLAKE ST 98022
276820,45,10 UNIT APT,1,2,10,643,2,3,0,4,4,3,1958,1980,100,N,N,N,1,700 NW MARKET ST 98107
685070,545,QUINAULT APTS,1,3,46,425,3,4,0,3,5,4,1925,1991,100,N,N,N,1,524 BOYLSTON AVE E 98102
197220,2600,MULTIPLE RESIDENCE,1,7,78,776,3,3,65,4,6,3,1990,2000,100,Y,Y,N,2,920 N 34TH ST 98103
332406,9059,280 CLARK CONDO APTS,5,3,38,1026,3,3,25,4,4,4,1984,1998,100,N,N,Y,2,280 SW CLARK ST
65300,195,,1,12,137,678,4,3,0,2,4,3,2014,2014,15,Y,Y, ,0,2521 WESTERN AVE 98121
501570,0,FLATS,1,3,15,998,3,3,0,4,4,3,1980,1980,100,Y,Y,Y,2,2419 E MADISON ST 98112
766370,375,FOUR PLEX,1,2,4,750,3,3,0,4,4,3,1966,1984,100,N,Y,N,2,3046 NE 143RD ST 98125
42404,9054,,1,2,4,884,3,3,0,4,4,3,1962,1984,100, , , ,0,830 28TH AVE S 98144
290220,480,9 UNIT APT,1,3,9,612,3,3,22,4,4,3,1962,1982,100,N,Y,N,2,2210 MINOR AVE E 98102
600300,1075,APT,1,3,10,636,3,3,0,4,4,2,1963,1977,100,N,N,N,1,1707 13TH AVE 98122
503750,0,7 UNIT CONDO,2,2,7,1650,4,4,0,4,5,3,1990,1990,100,N,N,Y,2,
276770,765, ,1,6,35,607,3,3,0,4,5,3,1993,1997,0,Y,Y,N,2,1737 NW 56TH ST 98107
808040,135,MURRAY HILL APTS,1,3,15,782,3,3,0,4,4,3,1925,1977,100,N,Y,N,1,1810 15TH AVE 98122
195970,1185,16 UNIT APT & OFFICE,1,4,16,743,3,3,33,4,4,3,1970,1985,100,N,Y,N,1,2718 EASTLAKE AVE E 98102
942558,0,50 FLAT UNITS,1,6,50,810,3,4,0,2,6,3,1997,1997,100,Y,Y, ,2,720 QUEEN ANNE AVE N 98109
781870,285,7 UNIT APT,1,2,7,753,2,3,0,4,4,3,1967,1984,100,N,Y,N,1,8500 9TH AVE NW 98117
96880,0, ,1,2,8,862,3,3,0,4,4,3,1990,1993,100,N,Y, ,2,10304 NE 189TH ST 98011
225450,650,APARTMENT,1,2,4,696,3,3,0,4,3,3,1904,1970,100,N,Y,N,1,935 13TH AVE 98122
674670,995, ,1,6,77,697,3,3,40,4,5,3,2006,2006,100,Y,Y,N,2,4751 12TH AVE NE 98105
804408,0,81 houses as a condominium,81,2,81,2346,3,4,0,4,5,3,1999,1999,100,N,N,Y,2,11725 114TH PL NE 98034
32305,9060,SUNSET PARK PHASE 2,3,2,20,968,3,3,0,4,5,4,1993,2002,100,N,N,Y,2,1555 ANACORTES AVE NE 98059
630050,115,6-PLEX,1,3,6,932,3,2,0,4,3,3,1983,1992,100,N,N,N,1,10329 MIDVALE AVE N 98133
276790,565,5 UNIT APT,1,2,5,667,3,2,0,3,2,3,1946,1973,100,N,N,N,1,5717 14TH AVE NW 98107
172205,9278,PHOENIX COURT,17,2,204,695,0,0,0,4,4,4,1975,1992,100,N,N,N,1,23913 111TH PL SE 98031
4000,105,COLONIAL GARDEN APTS,1,2,45,747,3,3,0,4,5,4,1966,1993,100,N,N,N,1,3465 S 144TH ST 98168
189940,165,RICKDAL APARTMENTS,1,2,6,624,3,3,0,4,4,3,1976,1987,100,N,N,N,1,1011 SW 149TH ST 98166
200070,196, ,1,2,3,683,3,3,0,4,4,3,1912,1975,0,N,N,N,1,7401 GREENWOOD AVE N 98103
609600,150,6 UNIT APT,3,2,6,819,3,3,75,4,4,3,1974,1986,100,N,Y,Y,1,505 GALER ST 98109
600350,1705,19-UNIT APT,1,4,19,776,3,3,75,4,4,3,1963,1982,100,N,N,N,1,221 13TH AVE E 98102
333990,826,FOUR-PLEX,1,2,4,1123,0,0,0,4,4,3,1978,1988,100,N,N,Y,2,1016 HARVEY RD 98002
144350,6,15 UNIT APT,1,4,15,654,3,3,50,4,4,3,1967,1984,100,N,Y,N,1,7827 RAINIER AVE S 98118
179450,1147,4-PLEX PLUS SHOP,2,4,4,730,4,3,0,4,4,4,1903,1980,100,N,N,Y,0,4 W HOWE ST 98109
881000,0,2-6 UNIT BLDGS,2,3,12,1420,3,3,0,4,6,4,1998,1998,100,Y,Y, ,2,1230 5TH AVE N 98109
812800,0,Flats,1,4,20,700,3,3,0,4,5,3,1987,2006,100,N,Y,N,2,2413 NW 59TH ST 98107
728390,380,JUKELA,1,3,18,987,3,3,0,4,4,3,1969,1991,100,N,Y,N,1,18524 LINDEN AVE N 98133
322305,9040,,3,3,52,1100,3,3,0,4,5,3,2012,2012,100,N,N, ,0,10436 SE CARR RD 98055
512540,194,4-PLEX,1,2,4,1024,0,0,0,4,4,3,1981,1989,100,N,N,Y,2,2243 I ST NE 98002
276760,290,LYNNDALE APT,1,2,11,639,3,3,0,4,4,3,1958,1980,100,N,N,N,1,6401 20TH AVE NW 98107
311073,0,20 Unit Condo,1,4,20,1060,3,3,0,4,5,4,1986,1986,100,N,Y, ,2,2611 EASTLAKE AVE E 98102
276020,30,,1,2,6,548,2,2,0,4,4,3,1959,1981,100,N,N,N,1,6526 RAINIER AVE S 98118
177310,1925,FOURPLEX,1,2,4,740,3,0,0,4,4,3,1980,1988,100,N,N,N,0,5626 DELRIDGE WAY SW 98106
168940,1385,FOREST MANOR APTS,1,4,8,1086,3,3,50,4,4,3,1968,1985,100,N,N,N,1,465 GARFIELD ST 98109
868167,0,10 Uni Res Condo,1,3,10,975,3,4,60,3,4,3,1977,2003,100,N,N,N,1,7925 DENSMORE AVE N 98103
392940,60,APTS,1,3,16,593,3,3,0,4,2,3,1910,1970,100,N,N,N,1,3716 S ANGELINE ST 98118
15600,0,28 Res Units + 30 Parking Units,2,4,28,1267,4,4,0,4,4,5,1973,1986,100,Y,Y,Y,2,2104 ALKI AVE SW 98116
318270,0,Flats,1,4,14,1014,3,3,0,4,5,5,1966,1988,100,Y,Y,Y,2,5249 40TH AVE NE 98105
344800,715,APARTMENT BLDG,1,3,10,744,3,3,0,4,5,3,1968,1989,100,N,Y,N,1,3201 NE 120TH ST 98125
409230,345,THE HAZELTON APARTMENTS,1,4,27,660,0,0,0,4,4,3,1988,1992,100,N,Y,N,1,4328 7TH AVE NE 98105
918720,290,FOUR PLEX,1,2,4,1013,3,3,50,4,4,4,1901,1990,100,N,N,N,1,120 29TH AVE 98122
24850,0,41 UNIT CONDO,10,2,41,668,3,3,0,4,3,4,1979,1979,100,N,N, ,1,14000 140TH AVE SE 98005
98500,801,CASCADE VUE UNIT 2,1,2,5,600,3,3,80,4,4,3,1969,1985,100,N,N,N,1,12035 DES MOINES MEMORIAL DR S 98168
444980,4,Live/Work Townhouse Unit,1,3,1,1290,3,3,0,4,6,4,2008,2008,100,N,N,N,2,2763 NW 85TH ST 98117
809330,0,Flats & Townhouses,21,2,48,1347,3,3,0,4,4,4,2006,2006,100,N,N,Y,2,23833 NE 112TH CIR 98053
807710,40,TERRACE VIEW APTS BLDG #4,1,2,6,771,3,3,0,4,4,3,1960,1981,100,N,N,N,1,3621 NE 73RD PL 98115
788260,10,MONT CLARE APTS,3,3,31,910,3,3,39,4,5,3,1959,1985,100,N,N,N,1,330 2ND AVE S 98033
510140,632,34 UNIT APT,2,4,34,664,3,3,0,4,5,3,1990,1996,100,Y,Y,N,2,8620 23RD AVE NE 98115
643150,80,9 UNIT APT HOUSE,1,2,9,703,3,3,11,4,4,3,1977,1987,100,N,N,N,1,8728 PHINNEY AVE N 98103
733140,511,AUBURN COURT APTS,3,2,25,521,0,0,0,4,4,3,1948,1979,100,N,N,N,1,100 AUBURN WAY S 98002
335590,260,,1,2,4,786,1,3,0,4,3,3,2010,2010,100,N,N,N,2,207 2ND PL SE 98047
154290,0,4-Plex Conversion,1,2,4,807,4,3,50,4,6,4,1927,2002,100,N,N,Y,2,4903 LINDEN AVE N 98103
609344,0,Townhouses,1,2,4,939,3,3,0,4,4,4,1979,1995,100,N,N,Y,2,902 28TH ST NE 98002
282405,9136,DEL MAR VILLAGE,3,2,30,920,0,0,0,4,6,3,1983,1993,100,N,N,N,2,12828 NEWCASTLE WAY 98006
501480,0,20 Unit Condo,1,3,24,1063,3,4,0,2,5,3,2008,2008,100,Y,Y,N,2,2900 E MADISON ST 98112
243550,0,FLAT & TOWNHOUSES,4,3,13,1503,3,3,0,4,4,3,1998,1998,100,N,N,Y,2,12549 ROOSEVELT WAY NE 98125
65600,120,THIRD AND CEDAR APARTMENT,1,26,298,621,4,4,60,2,5,3,2014,2014,100,Y,Y, ,2,225 CEDAR ST
180690,108,YONKERS APTS,1,3,16,557,3,3,0,4,4,3,1910,1974,100,N,N,N,1,1722 E THOMAS ST 98112
919710,373,HOLLY TREE APTS,2,2,11,993,0,0,0,4,4,3,1966,1984,100,N,N,N,2,619 1ST AVE S 98032
311065,0,18 UNIT COMPLEX,1,4,18,1245,4,4,0,4,6,4,1985,1995,100,Y,Y,Y,2,1639 HARBOR AVE SW 98116
336240,1241,7 UNIT APT,1,2,7,568,3,3,0,4,5,3,1963,1986,100,N,Y,N,1,7201 LINDEN AVE N 98103
765690,0,236 RES 3 COML 40PKG+26STG UNITS,1,25,239,847,3,3,0,2,6,3,1993,1993,100,Y,Y,N,2,2600 2ND AVE 98121
242603,9073,,1,1,1,1395,3,3,0,4,4,3,1991,1991,100,N,N, ,2,12557 1ST AVE NW 98177
437780,0,4 Unit Condo,2,2,4,993,3,3,50,4,4,3,2003,2003,100,N,N,N,2,1709 16TH AVE S 98144
168940,900,CASCADIAN APTS,1,3,9,845,3,3,0,4,4,3,1962,1982,100,N,N,N,1,1920 5TH AVE N 98109
132202,580,PANTHER LAKE 4 PLEX MODEL 1B2B,1,2,4,678,0,0,0,4,5,3,1979,1996,100,N,N,Y,2,23 S 342ND PL 98003
226400,0, Flats,1,3,9,695,3,3,0,4,4,3,1966,1987,100,Y,Y,N,2,403 E THOMAS ST 98102
195220,66,40 unit apt,1,4,40,682,3,3,75,4,4,3,1966,1984,100,Y,N,N,1,2410 BOYER AVE E 98112
856660,0, ,0,6,6,19658,0,0,0,3,4,0,2002,2002,0, , , ,0,101 PREFONTAINE PL S 98104
423240,350,8 UNIT APARTMENT,1,2,8,735,3,3,0,4,4,3,1957,1980,100,N,N,N,1,1701 E MERCER ST 98112
276770,1590,5-UNIT APARTMENT,1,2,5,854,3,3,0,4,4,3,1980,1988,100,N,Y,N,2,1545 NW 52ND ST 98107
685270,546,FOURPLEX,1,2,4,965,3,2,0,4,3,2,1904,1964,100,N,N,N,2,1008 E HARRISON ST 98102
418015,0,2008 Condo Conversion,1,2,4,1331,3,3,0,4,5,3,1997,1997,100,N,Y,Y,2,11107 WOODINVILLE DR
30131,0, ,0,0,0,0,0,0,0,0,0,0,2003,2003,0, , , ,0,412 NE 30TH ST
362110,0,FLATS,1,4,14,1152,3,3,0,4,4,4,1969,1992,100,N,N,Y,1,3239 80TH AVE SE 98040
382170,101,SEATTLE HOUSING AUTHORITY,1,3,11,953,3,3,0,4,4,3,1981,1989,100,N,N,N,1,3052 NE 137TH ST 98125
441310,165,WOODLAND COURT,1,1,6,467,3,3,0,4,4,4,1955,1979,100,N,N,N,1,619 NW BRIGHT ST 98107
685070,605,ROYHILL APTS,1,3,12,562,3,3,17,4,4,3,1959,1981,100,N,N,N,1,627 E ROY ST 98102
276770,75,5 UNIT APARTMENT,1,1,5,521,2,3,0,4,3,4,1956,1983,100,N,N,N,2,
936000,194,APARTMENTS,3,1,9,500,2,2,0,4,3,2,1910,1965,100,N,N,N,0,35 49TH ST NE 98032
507070,0,49 UNIT CONDO,1,10,49,650,3,3,0,2,4,4,1960,1960,100,Y,Y,N,1,1200 BOYLSTON AVE 98101
264370,0,Penthouse Unit,1,4,1,3260,3,4,0,1,6,3,1996,1996,100,Y,Y,Y,2,3601 FREMONT AVE N 98103
564960,335,ISLANDER APTS,1,2,30,629,3,3,0,4,4,3,1960,1981,100,N,N,N,1,5231 39TH AVE S 98118
277060,1045,4 - PLEX,1,1,4,444,3,3,0,4,4,3,1955,1979,100,N,N,N,1,2807 22ND AVE W 98199
22505,9093,AVALON REDMOND PLACE,8,4,222,929,4,3,0,4,5,3,1990,1996,100,Y,Y,Y,2,8935 160TH AVE NE 98052
683783,0,3 UNIT CONDO + 1 PARKING UNIT,1,3,3,1255,5,4,0,4,6,4,1992,2002,100,Y,Y,Y,2,3201 POINT PL SW 98116
856760,0, ,1,5,10,1112,4,3,0,4,6,4,1982,1994,100,N,Y, ,2,1900 TAYLOR AVE N 98109
186540,5,APARTMENT,1,3,15,669,3,3,0,4,4,3,1986,1991,100,N,Y,N,1,9542 9TH AVE NW 98117
784130,380,4-PLEX,1,2,4,834,0,0,0,4,4,3,1985,1991,100,N,N,N,2,303 HOUSER WAY S 98055
144240,0,63 Flats,3,3,63,825,3,3,0,4,3,3,1979,1988,100,N,N,Y,2,9523 NE 180TH ST 98011
689080,0, Townhouses,1,3,2,3326,4,4,0,4,7,3,2010,2010,100,Y,Y,Y,2,225 1ST ST 98033
255725,0,FLATS & TOWNHOUSES,1,2,16,890,3,4,0,3,5,5,1908,1987,100,Y,Y,N,2,1406 HARVARD AVE 98122
408330,7150,5-PLEX,1,2,5,621,3,2,0,4,3,2,1906,1965,100,N,Y,N,1,3314 WALLINGFORD AVE N 98103
880490,665,DEL PRADO APTS,1,2,27,275,3,3,0,4,4,3,1910,1974,100,N,N,N,1,1733 BELMONT AVE 98122
636400,0, Residential + Hotel + Commercial units,1,39,229,1005,4,5,0,2,7,3,2009,2009,100,Y,Y,Y,2,737 OLIVE WAY 98101
52405,9230,GLENWOOD 4 PLEX,1,2,4,840,3,3,0,4,4,4,1959,1989,100,N,N,N,0,1108 BELLEVUE WAY SE 98004
122505,9209,BEAR CREEK APARTMENTS,1,3,8,926,3,3,75,4,4,3,1984,1990,100,N,N,Y,2,17121 NE 80TH ST 98052
614010,145,PETERS STUGAN,1,3,9,864,3,3,0,4,4,4,1967,1984,100,N,N,N,1,11534 GREENWOOD AVE N 98133
522330,125,COACHMAN APARTMENT-7 UNITS,2,2,7,1282,3,3,0,4,4,3,1965,1983,100,N,N,N,1,520 104TH AVE SE 98004
262505,9012,PIEDMONT APARTMENTS,37,3,396,897,4,4,0,4,5,4,1969,1997,100,N,N,N,2,15318 NE 13TH PL 98007
871460,120, ,1,5,11,771,0,0,0,4,4,3,1994,2003,100, ,Y, ,2,5525 UNIVERSITY WAY NE 98105
952110,650,WOODLAND COURT APARTMENTS,1,3,19,1000,3,4,0,4,6,4,1916,1987,100,N,Y,N,1,705 N 50TH ST 98103
946520,170,LAUREL HOUSE APTS,1,4,20,542,3,3,20,4,4,3,1989,1993,100,Y,Y,N,1,9010 GREENWOOD AVE N 98103
312606,9007,Avalon at Bear Creek Apts,16,3,264,1092,3,3,30,4,5,3,1997,1997,100,N,Y,Y,2,11305 183RD PL NE 98052
190000,180,FOUR PLEX,1,2,4,968,3,3,0,4,5,4,1968,1994,100,N,N,N,1,1033 SW 151ST ST 98166
331650,31,WELLINGTON SQUARE-35 UNITS,1,3,35,1012,3,3,0,4,5,4,1968,1998,100,N,N,N,2,16053 NE 8TH ST 98008
12505,9059,5-PLEX,1,2,5,896,3,3,0,4,4,4,1978,1988,100,N,N,N,1,8389 167TH AVE NE 98052
339507,870, ,5,3,14,1121,3,3,0,4,4,3,2005,2005,100,N,N, ,2,
196220,70,SCANDIA APTS,1,2,5,775,2,3,0,4,4,3,1964,1983,100,N,N,N,1,3110 FRANKLIN AVE E 98102
162405,9254,EVERGREEN BUILDING,1,3,12,711,3,3,0,4,5,3,1979,1991,100,N,N,Y,2,12850 SE 40TH PL 98006
68780,0,"86 Residential, 7 Commercial ",1,13,93,589,3,4,0,2,6,3,2003,2003,100,Y,Y,Y,2,2716 ELLIOTT AVE 98121
292605,9189,4-PLEX,1,2,4,713,3,3,0,4,4,3,1969,1985,100,N,N,N,1,10023 NE 120TH ST 98034
121900,74,4 UNIT APT BLDG,1,2,4,891,0,0,0,4,5,3,1977,1990,100,N,N,Y,1,15618 8TH AVE SW 98166
92504,9130,4-PLEX,1,2,5,653,3,2,40,4,4,3,1910,1971,100,N,N,Y,1,4761 22ND AVE NE 98105
210770,110, ,1,6,90,537,3,3,10,4,4,3,2005,2005,100,Y,Y,N,2,1540 EASTLAKE AVE E 98102
894427,0,132 res + 1 managers unit,13,2,133,873,3,3,0,4,4,3,1975,1975,100,N,N,N,1,9805 NE 124TH ST 98034
110500,900,MYRTLE STREET APTS,1,4,38,770,3,4,0,4,4,3,1969,1985,100,Y,Y,N,1,7020 RAINIER AVE S 98118
181700,0,FLATS+1 CML,1,5,10,1125,3,3,0,4,5,3,2001,2001,100,Y,Y,N,2,1607 SUMMIT AVE 98122
439720,0,16 FLAT UNITS,1,4,16,433,3,3,0,4,5,4,1985,1998,100,N,Y,N,1,6547 42ND AVE SW 98136
766060,310,S.H.A. APTS,1,2,6,575,3,3,70,4,4,4,1900,1994,100,N,N,N,1,1545 12TH AVE S 98144
333250,170,23-UNIT APT,1,3,23,768,3,3,0,4,3,3,1968,1977,100,N,Y,N,1,5913 RAINIER AVE S 98118
423240,1130,20 UNIT APARTMENT,1,4,20,781,3,3,50,4,4,3,1964,1983,100,N,N,N,1,419 19TH AVE E 98112
717370,155,4 UNIT HOUSE,2,2,5,918,0,0,0,4,4,3,1911,1978,100,N,N,Y,1,5038 20TH AVE NE 98105
768960,990,UNITS 75 THRU 84,1,3,10,950,0,0,0,4,4,3,1962,1982,100,N,N,Y,1,6806 S 123RD ST 98178
276770,3835,CENTRAL PARK APTS 30 UNITS,1,4,30,729,3,3,0,4,4,4,1960,1989,100,N,Y,N,1,1819 NW CENTRAL PL 98107
666914,0,53 RES UNITS + 1 MANAGERS UNIT,1,18,54,1212,3,3,0,2,6,3,1981,1981,100,Y,Y,N,2,1101 SENECA ST 98101
182360,0,"Flats, Townhouses",2,3,21,769,3,3,0,4,4,4,1977,1993,100,N,N,Y,2,11241 NE 68TH ST 98033
684820,550,MONT BEL APARTMENTS,1,3,13,620,3,3,0,4,5,4,1963,1985,100,N,Y,N,1,319 BELMONT AVE E 98102
755900,0,Res Condo,1,3,3,1550,4,3,0,4,4,4,1967,1980,100,N,Y,Y,2,7454 E GREEN LAKE DR N 98103
988810,0,4 Res Units + 1 Coml Unit,1,3,4,1968,3,4,100,4,6,3,2009,2010,100,Y,N,Y,2,23840 7TH AVE S 98198
197220,855,FALEN APTS,1,3,21,604,3,3,0,4,4,4,1958,1988,100,N,Y,N,1,3817 EVANSTON AVE N 98103
867340,110,6 UNIT APT,1,3,6,916,3,3,0,4,3,3,1990,1991,100,N,Y,N,2,2620 NW 56TH ST 98107
286822,0,HOUSE BOAT MOORAGE / STA,2,1,4,1348,2,4,0,4,1,0,1982,1982,100,N,N, ,0,1215 E ALLISON ST 98102
197820,1220, ,1,3,22,490,3,3,0,4,4,3,1905,1974,100,N,Y,N,1,1220 BOYLSTON AVE 98101
641410,241,APT,1,3,10,658,2,3,0,4,4,3,1989,1993,100,N,Y,N,2,1038 NE 125TH ST 98125
260785,0,5 UNITS,1,3,5,1101,4,3,0,4,4,5,1978,1993,100,N,Y,Y,2,4224 BEACH DR SW 98116
242603,9259,BRENTWOOD SQARE APTS,1,3,29,762,3,4,0,4,5,3,1968,1989,100,Y,Y,N,1,13201 GREENWOOD AVE N 98133
881640,375,6 UNIT APARTMENT,1,2,6,539,3,3,0,4,4,3,1903,1974,100,N,N,N,1,5043 15TH AVE NE 98105
290960,0,4 - PLEX CONDOS - 60 UNITS,15,1,60,1015,3,3,0,4,4,4,1979,1979,100,N,N,Y,2,2616 19TH ST SE 98002
713330,10,MEI FONG APARTMENTS,1,3,6,731,3,3,50,4,4,3,1968,1985,100,N,N,N,1,1307 14TH AVE S 98144
359700,350,24 UNIT APT,6,2,24,1030,0,0,0,4,4,3,1966,1984,100,N,N,Y,2,6206 S 153RD ST 98188
638530,0,OLYMPIC SAVINGS TOWER OFFICE,1,13,14,5874,4,3,0,2,6,0,1929,1975,100,Y,Y, ,0,217 PINE ST 98000
66000,705, ,2,5,48,548,3,3,0,3,4,3,1909,1989,100,Y,Y,N,1,1800 8TH AVE 98101
742085,0,Townhomes,1,3,6,1458,4,3,0,4,4,3,1998,1998,100,N,N,Y,2,12607 SE 30TH ST 98005
122420,0,TOWNHOUSES,2,2,20,1199,3,3,0,4,5,4,1978,1993,100,N,N,N,2,212 SW 146TH ST 98166
10800,20, ,2,2,4,856,0,0,0,4,4,4,1953,1985,100,N,N,N,2,10015 7TH AVE NW 98177
396440,305,APTS,1,2,8,754,3,3,0,4,5,4,1922,1988,100,N,Y,N,1,1727 S HORTON ST 98144
25440,0,10 UNIT CONDO,4,3,10,1148,3,3,0,4,6,3,1991,1991,100,N,N,Y,2,12506 26TH AVE NE 98125
198920,1045,Apt + office + restaurant,1,2,16,639,3,3,0,4,4,3,1911,1975,100,N,Y,N,1,19 W THOMAS ST 98119
145995,0,FLATS,1,4,76,803,3,3,0,4,4,4,1978,1983,100,Y,Y,Y,2,750 N 143RD ST 98133
344840,100,HOMEWOOD TERRACE PH I,15,2,44,958,0,0,0,4,2,3,1971,1981,100,N,N,N,2,30030 38TH AVE S 98001
260791,0,Two unit condo,1,1,2,550,3,3,0,4,4,4,1940,1990,100,N,N,N,2,2044 COLE ST 98022
338390,110,MARILYN APTS,1,2,12,349,3,2,0,4,4,3,1910,1974,100,N,N,N,0,1816 EASTLAKE AVE E 98102
197220,540,FRANCIS II,1,3,13,661,3,3,0,4,5,3,1967,1988,100,N,Y,N,2,3635 FRANCIS AVE N 98103
723460,775,4-PLEX,1,3,4,1100,3,3,0,4,3,4,1900,1988,100,N,N,N,2,919 17TH AVE 98122
700620,590,BOEING FIELD APTS,1,3,23,324,0,0,0,3,4,3,1905,1974,100,N,N,N,1,6285 AIRPORT WAY S 98108
277160,4465,FOURPLEX,1,3,4,1076,3,3,50,4,4,3,1965,1983,100,N,N,Y,1,2334 W PLYMOUTH ST 98199
669700,0,63 unit condo,18,2,63,1380,4,3,0,4,5,3,1996,1996,100,N,N,Y,2,600 BREMERTON PL NE 98059
751850,680,5 UNIT APT,1,2,5,875,2,3,0,4,4,3,1969,1985,100,N,N,N,1,7041 15TH AVE NW 98117
192604,9133, ,2,6,140,892,3,3,25,4,5,3,2007,2007,100,Y,Y, ,2,13030 LINDEN AVE N
29377,0,Townhomes,13,2,50,1350,3,3,0,4,5,3,2003,2004,100,N,N,Y,2,35327 SE KINSEY ST 98065
162405,9049,Tenzen,9,3,72,910,3,4,0,4,5,4,1981,1997,100,N,Y,Y,2,4133 124TH AVE SE 98006
600350,2155,APT,1,2,11,640,3,3,0,4,5,3,1955,1978,100,N,N,N,1,302 HARVARD AVE E 98102
545230,200,5 UNIT APARTMENT BLDG,1,3,5,992,0,0,40,4,4,3,1960,1981,100,N,N,Y,1,3043 81ST PL SE 98040
872665,0,8 FLAT UNITS,1,4,8,932,3,3,0,4,4,4,1980,1993,100,N,N,Y,2,2811 14TH AVE W 98119
766010,355,ALPINE A APTS,1,2,7,689,3,3,0,4,4,4,1966,1989,100,N,N,N,1,1722 12TH AVE S 98144
545730,300,VALI-HAI APARTMENTS,2,4,48,708,3,3,75,4,4,3,1959,1981,100,Y,N,N,1,800 1ST AVE N 98109
114200,1535,MAVERICK APT,1,4,40,588,3,3,0,4,4,4,1963,1987,100,Y,N,N,1,4131 BROOKLYN AVE NE 98105
259720,0,FLATS & TOWNHOUSES,6,2,46,1032,3,4,0,4,4,4,1979,1979,100,N,N,Y,2,19115 BALLINGER WAY NE 98155
782720,60,4-PLEX,1,2,4,625,3,3,0,4,5,3,1967,1988,100,N,N,N,1,21917 30TH AVE S 98198
289580,210, ,4,3,12,1232,0,0,0,4,4,3,2006,2006,100,N,N,N,2,9804 9TH AVE SW
430620,0,150 Unit Condo,8,3,150,699,4,3,0,4,2,3,1976,1976,100,N,N,N,1,31003 14TH AVE S 98003
165450,0,8 UNIT CONDO,1,4,8,967,3,3,0,4,4,3,1966,1985,100,N,N, ,2,1214 TAYLOR AVE N 98109
600300,1745,APT,1,2,9,611,3,3,0,4,4,4,1907,1980,100,N,N,N,1,116 14TH AVE E 98112
382700,0,4 UNIT CONDO & DOCK,1,2,4,1635,5,4,100,4,7,4,1980,1985,100,N,N,Y,2,121 LAKE ST S 98033
132006,9013,4 PLEX,1,1,4,702,0,0,0,4,2,4,1949,1973,100,N,N,N,2,26405 SE 427TH ST 98022
363036,95,Apartments,1,4,107,1160,0,0,0,4,5,3,2013,2013,100,Y,Y, ,2,975 NE DISCOVERY DR 98029
643700,0,13 RES UNITS 4 COML UNITS&11 PRK,1,4,17,774,2,4,0,3,7,5,1900,1972,100,Y,Y, ,2,75 S MAIN ST 98104
701490,0,27 UNIT CONDO,2,4,27,545,3,3,0,4,4,3,1985,1990,100,N,Y, ,2,29 ETRURIA ST 98109
202605,9083,WOODLAKE APT,19,2,288,805,2,4,0,4,5,3,1984,1993,100,N,N,Y,2,11400 NE 132ND ST 98034
184323,0,2 Flats & 15 Garages,2,3,17,987,4,3,0,4,5,3,2004,2004,100,N,N,N,2,2002 17TH AVE NE 98029
132202,210,PANTHER LAKE 4 PLEX MODEL TH1,1,2,4,1024,3,4,0,4,5,4,1979,1996,100,N,N,Y,2,33729 1ST PL S 98003
192304,9004,KC HOUSING AUTHORITY,1,3,102,655,3,3,0,4,4,4,1983,1995,100,N,N,N,1,500 SW 148TH ST 98166
607950,285,APT,1,3,8,1020,3,3,0,4,5,3,1989,1996,100,N,Y,Y,2,4300 NE 55TH ST 98105
37200,76, ,1,3,4,1592,3,3,100,4,5,3,2007,2007,100,N,N,N,2,11415 88TH AVE S 98178
682110,1235,4 - PLEX,1,1,4,756,3,3,0,4,4,3,1952,1979,100,N,N,N,2,3648 34TH AVE W 98199
332504,9002,Senior Housing,1,6,64,571,3,3,30,4,4,3,1998,1998,100, ,Y,N,1,1916 E MADISON ST 98122
242006,9031, ,3,2,35,541,0,0,0,4,2,3,1975,1983,100,N,N,N,1,1323 BATTERSBY AVE 98022
735860,5,SIERRA SUE APTS,4,2,44,685,3,3,50,4,5,4,1969,1994,100,N,N,N,1,13224 35TH AVE S 98168
504260,0,9 FLAT UNITS,1,3,9,1069,3,3,0,4,5,4,1979,1993,100,Y,Y,Y,2,1964 26TH AVE W 98199
630190,0,TH/FlatsTH/Flats,7,2,52,1079,3,3,0,4,3,3,1986,1986,100,N,N, ,2,200 NEWPORT WAY NW 98027
172640,0,FLATS,9,2,32,989,3,3,0,4,4,4,1979,1988,100,N,N,Y,2,727 143RD AVE NE 98007
888060,90,4-PLEX,1,2,4,1025,0,0,0,4,4,3,1977,1987,100,N,N,N,0,963 MARTIN WAY 98022
948570,190,CENTERWOOD APTS,1,2,6,750,3,3,0,4,4,3,1986,1991,100,N,N,N,2,8427 DELRIDGE WAY SW 98106
